4.7, 3.3, 2.7, -0.4, -2.4, -1.0, 3.6, 1.1, -3.8, -0.6, 2.7, 1.8, -0.6, -3.1, -2.3, 4.8, 4.1, -1.8
parameter ends

state | action | reward
0.06254058608644104 | [13.44 -0.48] | -0.03079374649781461
0.0639672736937295 | [13.44 -0.48] | -0.03071174635492265
0.06538723480772682 | [13.45 -0.47] | -0.03063071772492719
0.0668005290780081 | [13.46 -0.47] | -0.030550646313978604
0.06820721536376595 | [13.46 -0.46] | -0.03047151809230303
0.06960735174762944 | [13.47 -0.46] | -0.03039331928827026
0.07100099554918313 | [13.47 -0.46] | -0.030316036382650992
0.07238820333819337 | [13.48 -0.45] | -0.03023965610298167
0.0737690309475498 | [13.49 -0.45] | -0.030164165418101865
0.07514353348592834 | [13.49 -0.44] | -0.03008955153284472
0.07651176535018338 | [13.5  -0.44] | -0.03001580188282686
0.07787378023747586 | [13.5  -0.43] | -0.02994290412939802
0.07922963115714368 | [13.51 -0.43] | -0.029870846154709568
0.08057937044232023 | [13.52 -0.43] | -0.02979961605692581
0.08192304976130874 | [13.52 -0.42] | -0.029729202145533585
0.08326072012871708 | [13.53 -0.42] | -0.029659592936771444
0.08459243191635975 | [13.53 -0.41] | -0.02959077714919578
0.08591823486393217 | [13.54 -0.41] | -0.029522743699333744
